연도,수력,,,,기력,,,,,복합화력,,,원자력,신재생,집단,내연력,기타,총계,상용자가,,,총발전량,
,일반수력,양수,소수력,소계,무연탄,유연탄,중유,가스,소계,일반,열공급,계,,,,,,,한전구입,자가소비,계,사업자+한전구입,사업자+상용자가
2019,2229038.12,3458384.755,559640.9271,6247063.802,2592225.311,216483725.3,1842477.512,0.012,220918428.1,,,110288811.4,145909669.5,30526256.64,46058095.14,578911.9149,1366662.865,561893899.4,1146405.437,22261140,23407545,563040304.8,585301444
2018,2748401,3911035,611017,7270453,2677040,228975999,5845247,0,237498286,0,0,116835607,133505261,27176674,47032922,528453,0,569847656,798850,22760291,23559141,570646507,593406797
2017,2263505,4186353,545316,6995173,4426611,227459979,5224768,220183,237331541,93839136.55,5779854.45,99618991,148426725,24145361.58,36194464.07,513347,,553225602,304506,22882019,23186525,540440854,560984590
2016,2159149,3787310,687112.6,6633585,7760682,201439484,13054770,368541,222623477,91064130.62,5858139.13,96922270,161995104,18935660,32537144,573196,0,540220436,220419,20543736,20764155,540440854,560984590
2015,1539297.685,3650320.346,606421.622,5796039.652,7438270.931,199895424.447,8822005.96,222471.548,216378172.886,97375131.105,3223254.052,100598385.157,164762415.917,17317948.604,22018711.201,643163.937,0,527514837.354,576355.319,17438073,18014428,528091192.673,545529266
2014,2135681,5068129,615737,7819548,8506060,195259331,6838457,568123,211171971,104301491,7409973,111711465,156406511,14695690.362,18948094.924,655810,0,521409090,561813,18407896,18969708.747,521970903,540378798.717
2013,3798240,4104661,491028,8393928,8054488,193064345,13940534,3525889,218585257,111629509,12770502,124400011,138783973,10159658,14403169,740935,0,515466931,1680942,20021403,21702345,517147873,537169276
2012,3440018,3683262,529021,7652301,8767762,190561957,13553420,3452866,216336004,97548461,13333473,110881933,150327293.341873,8617868.86573144,12912737.090829,752070.317232,0,507480208,2094121,21627537,23721658,509574329,531201866
2011,4178867.7,3232984.573,418799.316,7830651.589,8503982.819,191011864.22,9456338.38,2232618,211204803.419,90452986.047,11026397.515,101479383.562,154723106.781,7592387.053,12429066.774,820532.999,0,496079932.178,813433.581,21274450,22087884,496893365.758,518167816
2010,3339560.27,2789933.751,342408.513,6471902.534,8359872.741,189927487.074,10874370.521,2287541,211449271.336,81563808.442,12448329.367,94012137.809,148595711.644,4478057.639,8080232.932,730695.242,0,473818009.136,842195.905,20368158,21210353.905,474660205.042,495028363.042
