기간,평균 기온
2012년 1월,-2.8
2012년 2월,-2
2012년 3월,5.1
2012년 4월,12.3
2012년 5월,19.7
2012년 6월,24.1
2012년 7월,25.4
2012년 8월,27.1
2012년 9월,21
2012년 10월,15.3
2012년 11월,5.5
2012년 12월,-4.1
2013년 1월,-3.4
2013년 2월,-1.2
2013년 3월,5.1
2013년 4월,10
2013년 5월,18.2
2013년 6월,24.4
2013년 7월,25.5
2013년 8월,27.7
2013년 9월,21.8
2013년 10월,15.8
2013년 11월,6.2
2013년 12월,-0.2
2014년 1월,-0.7
2014년 2월,1.9
2014년 3월,7.9
2014년 4월,14
2014년 5월,18.9
2014년 6월,23.1
2014년 7월,26.1
2014년 8월,25.2
2014년 9월,22.1
2014년 10월,15.6
2014년 11월,9
2014년 12월,-2.9
2015년 1월,-0.9
2015년 2월,1
2015년 3월,6.3
2015년 4월,13.3
2015년 5월,18.9
2015년 6월,23.6
2015년 7월,25.8
2015년 8월,26.3
2015년 9월,22.4
2015년 10월,15.5
2015년 11월,8.9
2015년 12월,1.6
2016년 1월,-3.2
2016년 2월,0.2
2016년 3월,7
2016년 4월,14.1
2016년 5월,19.6
2016년 6월,23.6
2016년 7월,26.2
2016년 8월,28
2016년 9월,23.1
2016년 10월,16.1
2016년 11월,6.8
2016년 12월,1.2
2017년 1월,-1.8
2017년 2월,-0.2
2017년 3월,6.3
2017년 4월,13.9
2017년 5월,19.5
2017년 6월,23.3
2017년 7월,26.9
2017년 8월,25.9
2017년 9월,22.1
2017년 10월,16.4
2017년 11월,5.6
2017년 12월,-1.9
2018년 1월,-4
2018년 2월,-1.6
2018년 3월,8.1
2018년 4월,13
2018년 5월,18.2
2018년 6월,23.1
2018년 7월,27.8
2018년 8월,28.8
2018년 9월,21.5
2018년 10월,13.1
2018년 11월,7.8
2018년 12월,-0.6
2019년 1월,-0.9
2019년 2월,1
2019년 3월,7.1
2019년 4월,12.1
2019년 5월,19.4
2019년 6월,22.5
2019년 7월,25.9
2019년 8월,27.2
2019년 9월,22.6
2019년 10월,16.4
2019년 11월,7.6
2019년 12월,1.4
2020년 1월,1.6
2020년 2월,2.5
2020년 3월,7.7
2020년 4월,11.1
2020년 5월,18
2020년 6월,23.9
2020년 7월,24.1
2020년 8월,26.5
2020년 9월,21.4
2020년 10월,14.3
2020년 11월,8
2020년 12월,-0.3
